,ROMol,AAScore,trajectory_num,rank_num,lead_num,conf_num,num_heavyatoms,AAScore_LE
1668,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6dd0>,-8.652948626582072,trajectory_04,rank_01,lead_0395,confid_5,27,-0.32047957876229893
1813,<rdkit.Chem.rdchem.Mol object at 0x14b231a0ce40>,-8.644975364508541,trajectory_04,rank_01,lead_0025,confid_9,26,-0.33249905248109773
1462,<rdkit.Chem.rdchem.Mol object at 0x14b231a9b270>,-8.622380678770314,trajectory_04,rank_01,lead_0122,confid_2,28,-0.3079421670989398
1823,<rdkit.Chem.rdchem.Mol object at 0x14b231a102e0>,-8.61770040791325,trajectory_04,rank_01,lead_0286,confid_10,28,-0.3077750145683304
1802,<rdkit.Chem.rdchem.Mol object at 0x14b231a0c970>,-8.5995009197082,trajectory_04,rank_01,lead_0425,confid_19,29,-0.2965345144726966
1627,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0ba0>,-8.59162988246743,trajectory_04,rank_01,lead_0466,confid_18,29,-0.2962630993954286
1513,<rdkit.Chem.rdchem.Mol object at 0x14b2319e1900>,-8.586389525472354,trajectory_04,rank_01,lead_0417,confid_1,33,-0.26019362198401075
1580,<rdkit.Chem.rdchem.Mol object at 0x14b2319eb6d0>,-8.585396977440524,trajectory_04,rank_01,lead_0059,confid_18,30,-0.28617989924801746
1497,<rdkit.Chem.rdchem.Mol object at 0x14b2319e1200>,-8.58516026507242,trajectory_04,rank_01,lead_0073,confid_1,28,-0.30661286660972925
1539,<rdkit.Chem.rdchem.Mol object at 0x14b2319e64a0>,-8.58289103610259,trajectory_04,rank_01,lead_0391,confid_16,28,-0.3065318227179496
1571,<rdkit.Chem.rdchem.Mol object at 0x14b2319eb2e0>,-8.581107026744853,trajectory_04,rank_01,lead_0322,confid_4,27,-0.31781877876832787
1607,<rdkit.Chem.rdchem.Mol object at 0x14b2319f02e0>,-8.574401318238056,trajectory_04,rank_01,lead_0406,confid_16,28,-0.306228618508502
1552,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6a50>,-8.573679561732426,trajectory_04,rank_01,lead_0347,confid_0,28,-0.3062028414904438
1684,<rdkit.Chem.rdchem.Mol object at 0x14b2319fb510>,-8.570422310215674,trajectory_04,rank_01,lead_0339,confid_17,27,-0.31742304852650643
1633,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0e40>,-8.567210564292795,trajectory_04,rank_01,lead_0441,confid_16,27,-0.31730409497380724
1763,<rdkit.Chem.rdchem.Mol object at 0x14b231a07820>,-8.55166338759781,trajectory_04,rank_01,lead_0188,confid_1,29,-0.29488494439992446
1772,<rdkit.Chem.rdchem.Mol object at 0x14b231a07c10>,-8.55011599950058,trajectory_04,rank_01,lead_0272,confid_4,29,-0.2948315861896752
1608,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0350>,-8.54786364068746,trajectory_04,rank_01,lead_0332,confid_0,28,-0.3052808443102664
